Джинбей,,,,
,,,,
"Jinbei 800Вт лампа галогенная, шт",,+,220-00,400-00
"Jinbei DPSIII-600 осветительный прибор/моноблок, шт",,"3,000",7900-00,9900-00
"Jinbei E-15x17 софтбокс для накамерной вспышки, шт",,+,250-00,350-00
"Jinbei E-30 октабокс для накамерной вспышки, шт",,+,370-00,550-00
"Jinbei E-9x9 софтбокс для накамерной вспышки, шт",,+,160-00,230-00
"Jinbei EM-35x140 софтбокс BW с сотовой решеткой, шт",,"4,000",1900-00,
"Jinbei EM-40x180 софтбокс BW с сотовой решеткой, шт",,"4,000",2200-00,
"Jinbei EM-45x45 софтбокс BW с сотовой решеткой, шт",,"2,000",1596-00,
"Jinbei EM-60x90 софтбокс BW с сотовой решеткой, шт",,"1,000",1700-00,
"Jinbei EM-70x70 софтбокс BW с сотовой решеткой, шт",,"2,000",2100-00,
"Jinbei EM-90 октабокс 8-угольный BW с сотовой решеткой, шт",,"1,000",1600-00,
"Jinbei ET402 kit комплект постоянного освещения, шт",,"4,000",5000-00,
"Jinbei ET403 kit комплект постоянного освещения, шт",,"3,000",7400-00,
"Jinbei JB-300 алюминиевая стойка , шт",,+,1200-00,
"Jinbei JB-A Accessories сотовая решетка, шторки, набор гелевых фильтров, шт",,"2,000",770-00,
"Jinbei JB-RC пульт ДУ, шт",,"4,000",1550-00,
"Jinbei L-104 FE22426 чехол для стоек , шт",,"3,000",400-00,
"Jinbei L-106 PRO сумка для студийного оборудования , шт",,"3,000",4500-00,
"Jinbei L-2000A компактная студийная стойка, шт",,"4,000",1000-00,
"Jinbei L-71 Compact сумка для студийного оборудования , шт",,"4,000",2000-00,
"Jinbei L-80 SJ-200 чехол для стоек , шт",,+,250-00,
"Jinbei L-80 Standard сумка для студийного оборудования , шт",,"3,000",2600-00,
"Jinbei QZ-1000 Quartz Light NEW галогенный источник света, шт",,+,4500-00,
"Jinbei Snoot white cloth отражатель конический белый для накамерной вспышки, шт",,+,170-00,
"Jinbei лампа 1000Вт Quartz tube G9.5, шт",,+,420-00,
"Jinbei лампа 105Вт E27 люминесцентная, шт",,+,630-00,
"Jinbei лампа 150Вт E27 пилотная, шт",,+,160-00,
"Jinbei лампа 250Вт E27 пилотная, шт",,+,180-00,
"Jinbei лампа 85Вт E27 люминесцентная, шт",,+,440-00,
"Jinbei переходник для студийных вспышек Balcar/Plashpoint/White light, шт",,"4,000",,
"Jinbei стол фотографический 60x130 professional, шт",,+,2650-00,
"Jinbei стол фотографический 75x100 professional, шт",,"2,000",6000-00,
"Jinbei стол фотографический QH-Y100 professional, шт",,"2,000",8900-00,
Смартум,,,,
,,,,
"Jinbei узкоугольная насадка M d-8, шт",,"4,000",700-00,
"Smartum 1000Вт fesnel bulbs лампа, шт",,+,,
"Smartum 1000Вт Fresnel галогенный осветитель, шт",,"2,000",,
"Smartum 18W led tubes диодная лампа, шт",,"2,000",,
"Smartum 2000Вт fesnel bulbs лампа, шт",,+,,
"Smartum 40x40х40см лайткуб, шт",,+,640-00,
"Smartum D-50х70 for UNO софтбокс, шт",,+,400-00,
"Smartum D-550 for UNO октабокс, шт",,+,400-00,
"Smartum F104 флуоресцентный осветительный прибор, шт",,+,1840-00,
"Smartum F130 флуоресцентный осветительный прибор, шт",,+,2080-00,
"Smartum F65 флуоресцентный осветительный прибор, шт",,"4,000",1120-00,
"Smartum FC-01 metal vigorously клипса, шт",,"4,000",210-00,
"Smartum FLED-2 горизонтальная панель светодиодного освещения 2 лампы, шт",,"2,000",4630-00,
"Smartum FLED-4 горизонтальная панель светодиодного освещения 4 лампы, шт",,"4,000",6780-00,
"Smartum FLED-6 горизонтальная панель светодиодного освещения 6 ламп, шт",,"2,000",9200-00,
"Smartum KF104 (4*26Вт + софтбокс 60*90) флуоресцентный осветительный прибор, шт",,+,1955-00,
"Smartum Lamp 26W лампа, шт",,+,,
"Smartum LED-112MS светодиодный осветитель, шт",,"4,000",1360-00,
"Smartum LED-180MS1 светодиодный осветитель, шт",,"4,000",2080-00,
"Smartum LFV-P108 светодиодный осветитель, шт",,"4,000",1755-00,
"Smartum LFV-P234 светодиодный осветитель, шт",,"4,000",3000-00,
"Smartum LFV-P234C светодиодный осветитель, шт",,"4,000",3300-00,
"Smartum LSB-2 журавль, шт",,"1,000",2320-00,
"Smartum LumiLight Ring FP-22C 22W кольцевой люминесцентный источник освещения, шт",,+,800-00,
"Smartum LumiLight Ring FP-28C 28W кольцевой люминесцентный источник освещения, шт",,+,900-00,
"Smartum Slidecam lite 100см слайдер, шт",,"3,000",5930-00,
"Smartum Slidecam lite 120см слайдер, шт",,"3,000",6420-00,
"Smartum Slidecam lite bag сумка для слайдера, шт",,+,350-00,
"Smartum Solar Солнечные батареи/ зарядные устройства 11SC1 5,5W чёрный, шт",,"2,000",1615-00,
"Smartum Solar Солнечные батареи/ зарядные устройства 1SC1-3 1,5W чёрный, шт",,"2,000",500-00,
"Smartum Solar Солнечные батареи/ зарядные устройства 5SC1-2 5W чёрный, шт",,"2,000",1450-00,
"Smartum Solar Солнечные батареи/ зарядные устройства 6SC1 3W чёрный, шт",,"2,000",850-00,
"Smartum Solar Солнечные батареи/ зарядные устройства 6SC1-2 6W чёрный, шт",,"2,000",1700-00,
"Smartum ST-650 (1.5M) видеоштатив new head, шт",,"1,000",3350-00,
"Smartum ST-650D штатив, шт",,"1,000",3192-00,
"Smartum ST-680 видеоштатив, шт",,"3,000",5400-00,
"Smartum ST-690 видеоштатив, шт",,"1,000",5400-00,
"Smartum ST-B3 комплект для крепления 3-х бумажных фонов, шт",,"1,000",1450-00,
"Smartum triangular camera bag фотосумка, шт",,"1,000",,
"Smartum TUBES for PL Lamps люминесцентная лампа, шт",,+,,
"Smartum быстросъемный ремень (двойной), шт",,"1,000",460-00,
"Smartum быстросъемный ремень (одинарный), шт",,"1,000",220-00,
,,,,
ВИЗИКО,,,,
"Visico BP-026 1,5х1,8х2м черный/белый/голубой фон с пологом, шт",,+,3300-00,
"Visico BP-026 1,5х1,8х2м черный/белый/серый фон с пологом, шт",,"3,000",3300-00,
"Visico BP-027 150*200cm фон складной, шт",,+,1450-00,
"Visico FT-9068VT for VT-400 импульсная лампа, шт",,+,,
"Visico FT-9069VT for VT-300 импульсная лампа, шт",,+,,
"Visico FT-9070VT for VT-200 импульсная лампа, шт",,+,,
"Visico Honeycomb for standard reflector  6*6, шт",,+,210-00,
"Visico KB-A bag сумка для студийного оборудования, шт",,"4,000",2300-00,
"Visico KB-F bag сумка для студийного оборудования, шт",,+,1200-00,
"Visico LR-2000 Remote Control пульт ДУ, шт",,"2,000",1900-00,
"Visico LS-8008 стойка студийная, шт",,+,1000-00,
"Visico LT-011 120*120*120 лайткуб в комплекте фоны черный/белый, шт",,"3,000",2100-00,
"Visico LT-011 150*150*150 лайткуб в комплекте фоны черный/белый, шт",,"3,000",2700-00,
"Visico ML-075 for VT галогенная лампа, шт",,+,,
"Visico Modeling lamp 150W пилотная лампа, шт",,"2,000",,
"Visico Modeling lamp 250W пилотная лампа, шт",,+,,
"Visico Radio Trigger VC-816 радиосинхронизатор, шт",,+,870-00,
"Visico RD-024 110cm/107см мультиотражатель 5 в 1, шт",,+,800-00,
"Visico RD-024 120x180cm мультиотражатель 5 в 1, шт",,+,1350-00,
"Visico RD-024 56cm мультиотражатель 5 в 1, шт",,+,490-00,
"Visico RD-024 80cm мультиотражатель 5 в 1, шт",,+,550-00,
"Visico RD-024 92x122cm/91х122см мультиотражатель 5 в 1, шт",,+,900-00,
"Visico SB-030 20x90cm софтбокс, шт",,"4,000",720-00,
"Visico SB-030 30x120cm софтбокс, шт",,"4,000",1100-00,
"Visico SB-030 35x140cm софтбокс, шт",,"4,000",1180-00,
"Visico SB-030 40x200cm софтбокс, шт",,"1,000",15550-00,
"Visico SB-030 60x200cm софтбокс, шт",,"4,000",1780-00,
"Visico SB-030 60x60cm софтбокс, шт",,+,860-00,
