number;name;category;price;stock_info;active
3871;"Canon EOS 1D Mark III Body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
3837;"Canon EOS 30D 17-85 lens kit";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
931;"Canon EOS 30D 18-55 lens kit";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
944;"Canon EOS 30D Body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
1927;"Canon EOS 350D body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
905;"Canon EOS 350D Kit black";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
969;"Canon EOS 400D 18-55 kit";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
3930;"Canon EOS 400D 18-55 kit +CP520 +KP108IP";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
966;"Canon EOS 400D Body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
3141;"Canon EOS 40D 17-85 Kit";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
3838;"Canon EOS 40D 18-55 Kit";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
3937;"Canon EOS 40D 50 f/1.8 Kit";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
2716;"Canon EOS 40D Body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
5834;"Фотоаппарат Canon EOS 1000D 18-55 DC kit";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";14925;Ожидается;1
4449;"Фотоаппарат Canon EOS 1000D 18-55 IS kit";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
4450;"Фотоаппарат Canon EOS 1000D body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";0;Ожидается;1
15325;"Фотоаппарат Canon EOS 100D body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";24670;Ожидается;1
15081;"Фотоаппарат Canon EOS 100D Kit 18-55 STM";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";29819;Ожидается;1
14181;"Фотоаппарат Canon EOS 1100D 18-135 IS kit";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";20590;Ожидается;1
11159;"Фотоаппарат Canon EOS 1100D 18-55 DC III kit";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";13060;На складе;1
9593;"Фотоаппарат Canon EOS 1100D 18-55 IS kit";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";13890;Ожидается;1
9592;"Фотоаппарат Canon EOS 1100D body";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";11010;На складе;1
14180;"Фотоаппарат Canon EOS 1100D kit 50 f/1.8";"Фотоаппараты и Видеокамеры/Зеркальные фотокамеры";15101;Ожидается;1
